gene,species,summary_uid,summary_symbol,summary_name,summary_type,summary_chromosome,summary_text,disease_count,disease_names,domain_count,domain_names,ols_identity_count,ols_identity_labels,ols_function_count,ols_function_labels,error
CNR2,Homo,1269,CNR2,cannabinoid receptor 2,,1,"The cannabinoid delta-9-tetrahydrocannabinol is the principal psychoactive ingredient of marijuana. The proteins encoded by this gene and the cannabinoid receptor 1 (brain) (CNR1) gene have the characteristics of a guanine nucleotide-binding protein (G-protein)-coupled receptor for cannabinoids. They inhibit adenylate cyclase activity in a dose-dependent, stereoselective, and pertussis toxin-sensitive manner. These proteins have been found to be involved in the cannabinoid-induced CNS effects (including alterations in mood and cognition) experienced by users of marijuana. The cannabinoid receptors are members of family 1 of the G-protein-coupled receptors. [provided by RefSeq, Jul 2008]",0,,0,,4,CNR2; PCDHA6; Endocannabinoid hydrolases; N-arachidonoylethanolamine hydrolases,0,,
IFNLR1,Homo,,,,,,,0,,0,,1,IFNLR1,2,interleukin-28 receptor complex; type III interferon,summary_not_found
CLIC4,Homo,25932,CLIC4,chloride intracellular channel 4,,1,"Chloride channels are a diverse group of proteins that regulate fundamental cellular processes including stabilization of cell membrane potential, transepithelial transport, maintenance of intracellular pH, and regulation of cell volume. Chloride intracellular channel 4 (CLIC4) protein, encoded by the CLIC4 gene, is a member of the p64 family; the gene is expressed in many tissues and exhibits a intracellular vesicular pattern in Panc-1 cells (pancreatic cancer cells). [provided by RefSeq, Jul 2008]",0,,0,,1,CLIC4,0,,
AUNIP,Homo,79000,AUNIP,aurora kinase A and ninein interacting protein,,1,"Enables damaged DNA binding activity. Involved in double-strand break repair via homologous recombination; negative regulation of double-strand break repair via nonhomologous end joining; and spindle organization. Located in centrosome; site of DNA damage; and spindle pole. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,AUNIP,0,,
STMN1,Homo,3925,STMN1,stathmin 1,,1,"This gene belongs to the stathmin family of genes. It encodes a ubiquitous cytosolic phosphoprotein proposed to function as an intracellular relay integrating regulatory signals of the cellular environment. The encoded protein is involved in the regulation of the microtubule filament system by destabilizing microtubules. It prevents assembly and promotes disassembly of microtubules. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2009]",0,,0,,2,STMN1; Stathmins,0,,
ZNF683,Homo,257101,ZNF683,zinc finger protein 683,,1,"Enables RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in T cell receptor signaling pathway; cellular response to ionomycin; and regulation of gene expression. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,ZNF683,0,,
TRNP1,Homo,388610,TRNP1,TMF1 regulated nuclear protein 1,,1,"Predicted to enable DNA binding activity. Predicted to be involved in several processes, including cerebellar cortex morphogenesis; neural precursor cell proliferation; and regulation of cell population proliferation. Predicted to be located in euchromatin. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,4,TRNP1; TRL-AAG2-3; TRP-AGG2-5; TRP-AGG2-6,0,,
TENT5B,Homo,115572,TENT5B,terminal nucleotidyltransferase 5B,,1,"Enables poly(A) RNA polymerase activity. Involved in several processes, including negative regulation of apoptotic process; negative regulation of cell population proliferation; and positive regulation of translation. Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,TENT5B,0,,
FGR,Homo,2268,FGR,"FGR proto-oncogene, Src family tyrosine kinase",,1,"This gene is a member of the Src family of protein tyrosine kinases (PTKs). The encoded protein contains N-terminal sites for myristylation and palmitylation, a PTK domain, and SH2 and SH3 domains which are involved in mediating protein-protein interactions with phosphotyrosine-containing and proline-rich motifs, respectively. The protein localizes to plasma membrane ruffles, and functions as a negative regulator of cell migration and adhesion triggered by the beta-2 integrin signal transduction pathway. Infection with Epstein-Barr virus results in the overexpression of this gene. Multiple alternatively spliced variants, encoding the same protein, have been identified. [provided by RefSeq, Jul 2008]",0,,0,,3,FGR; FYN; Src family tyrosine kinases,0,,
LINC02574,Homo,111216282,LINC02574,long intergenic non-protein coding RNA 2574,,1,,0,,0,,1,LINC02574,0,,
SMPDL3B,Homo,27293,SMPDL3B,sphingomyelin phosphodiesterase acid like 3B,,1,"Enables phosphoric diester hydrolase activity. Predicted to be involved in membrane lipid catabolic process; negative regulation of inflammatory response; and negative regulation of toll-like receptor signaling pathway. Located in extracellular exosome. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,SMPDL3B,0,,
PTAFR,Homo,5724,PTAFR,platelet activating factor receptor,,1,"This gene encodes a seven-transmembrane G-protein-coupled receptor for platelet-activating factor (PAF) that localizes to lipid rafts and/or caveolae in the cell membrane. PAF (1-0-alkyl-2-acetyl-sn-glycero-3-phosphorylcholine) is a phospholipid that plays a significant role in oncogenic transformation, tumor growth, angiogenesis, metastasis, and pro-inflammatory processes. Binding of PAF to the PAF-receptor (PAFR) stimulates numerous signal transduction pathways including phospholipase C, D, A2, mitogen-activated protein kinases (MAPKs), and the phosphatidylinositol-calcium second messenger system. Following PAFR activation, cells become rapidly desensitized and this refractory state is dependent on PAFR phosphorylation, internalization, and down-regulation. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2011]",0,,0,,2,PTAFR; Platelet activating factor receptor,0,,
SDC3,Homo,9672,SDC3,syndecan 3,,1,"The protein encoded by this gene belongs to the syndecan proteoglycan family. It may play a role in the organization of cell shape by affecting the actin cytoskeleton, possibly by transferring signals from the cell surface in a sugar-dependent mechanism. Allelic variants of this gene have been associated with obesity. [provided by RefSeq, Oct 2009]",0,,0,,1,SDC3,0,,
FABP3,Homo,2170,FABP3,fatty acid binding protein 3,,1,"The intracellular fatty acid-binding proteins (FABPs) belongs to a multigene family. FABPs are divided into at least three distinct types, namely the hepatic-, intestinal- and cardiac-type. They form 14-15 kDa proteins and are thought to participate in the uptake, intracellular metabolism and/or transport of long-chain fatty acids. They may also be responsible in the modulation of cell growth and proliferation. Fatty acid-binding protein 3 gene contains four exons and its function is to arrest growth of mammary epithelial cells. This gene is a candidate tumor suppressor gene for human breast cancer. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2016]",0,,0,,2,FABP3; FABP3P2,0,,
LINC01226,Homo,,,,,,,0,,0,,1,LINC01226,0,,summary_not_found
FAM167B,Homo,84734,FAM167B,family with sequence similarity 167 member B,,1,,0,,0,,1,FAM167B,0,,
CLSPN,Homo,63967,CLSPN,claspin,,1,"The product of this gene is an essential upstream regulator of checkpoint kinase 1 and triggers a checkpoint arrest of the cell cycle in response to replicative stress or DNA damage. The protein is also required for efficient DNA replication during a normal S phase. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2010]",0,,0,,3,CLSPN; CLSPN-DT; CLSPN-AS1,0,,
AGO4,Homo,,,,,,,0,,0,,1,AGO4,0,,summary_not_found
CSF3R,Homo,,,,,,,0,,0,,1,CSF3R,3,granulocyte colony-stimulating factor receptor activity; granulocyte colony-stimulating factor receptor; granulocyte colony-stimulating factor signaling pathway,summary_not_found
GRIK3,Homo,,,,,,,0,,0,,1,GRIK3,0,,summary_not_found
AL353604.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
LINC01685,Homo,105378656,LINC01685,long intergenic non-protein coding RNA 1685,,1,,0,,0,,1,LINC01685,0,,
RHBDL2,Homo,54933,RHBDL2,rhomboid like 2,,1,"The protein encoded by this gene is a member of the rhomboid family of integral membrane proteins. This family contains proteins that are related to Drosophila rhomboid protein. Members of this family are found in both prokaryotes and eukaryotes and are thought to function as intramembrane serine proteases. The encoded protein is thought to release soluble growth factors by proteolytic cleavage of certain membrane-bound substrates, including ephrin B2 and ephrin B3. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2015]",0,,0,,1,RHBDL2,0,,
