gene,species,summary_uid,summary_symbol,summary_name,summary_type,summary_chromosome,summary_text,disease_count,disease_names,domain_count,domain_names,ols_identity_count,ols_identity_labels,ols_function_count,ols_function_labels,error
SHISAL2B,Homo,100132916,SHISAL2B,shisa like 2B,,5,"Predicted to be located in membrane. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,SHISAL2B,0,,
ADAMTS6,Homo,,,,,,,0,,0,,2,ADAMTS6; ADAMTS6-DT,0,,summary_not_found
NLN,Homo,,,,,,,0,,0,,1,NLN,0,,summary_not_found
AC092353.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
MAST4,Homo,,,,,,,0,,0,,3,MAST4; MAST4-AS1; MAST4-IT1,0,,summary_not_found
AC112206.2,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
CCDC125,Homo,,,,,,,0,,0,,1,CCDC125,0,,summary_not_found
ZNF366,Homo,,,,,,,0,,0,,1,ZNF366,0,,summary_not_found
AC008972.2,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
AC116337.3,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
ANKDD1B,Homo,,,,,,,0,,0,,1,ANKDD1B,0,,summary_not_found
S100Z,Homo,170591,S100Z,S100 calcium binding protein Z,,5,"Members of the S100 protein family contain 2 calcium-binding EF-hands and exhibit cell-type specific expression patterns. For additional background information on S100 proteins, see MIM 114085.[supplied by OMIM, Mar 2008]",0,,0,,1,S100Z,0,,
CRHBP,Homo,1393,CRHBP,corticotropin releasing hormone binding protein,,5,"Corticotropin-releasing hormone is a potent stimulator of synthesis and secretion of preopiomelanocortin-derived peptides. Although CRH concentrations in the human peripheral circulation are normally low, they increase throughout pregnancy and fall rapidly after parturition. Maternal plasma CRH probably originates from the placenta. Human plasma contains a CRH-binding protein which inactivates CRH and which may prevent inappropriate pituitary-adrenal stimulation in pregnancy. [provided by RefSeq, Jul 2008]",0,,0,,1,CRHBP,0,,
ZBED3-AS1,Homo,728723,ZBED3-AS1,ZBED3 antisense RNA 1,,5,,0,,0,,1,ZBED3-AS1,0,,
LHFPL2,Homo,10184,LHFPL2,LHFPL tetraspan subfamily member 2,,5,"This gene is a member of the lipoma HMGIC fusion partner (LHFP) gene family, which is a subset of the superfamily of tetraspan transmembrane protein encoding genes. Mutations in one LHFP-like gene result in deafness in humans and mice, and a second LHFP-like gene is fused to a high-mobility group gene in a translocation-associated lipoma. Alternatively spliced transcript variants have been found, but their biological validity has not been determined. [provided by RefSeq, Jul 2008]",0,,0,,1,LHFPL2,0,,
ARSB,Homo,411,ARSB,arylsulfatase B,,5,"Arylsulfatase B encoded by this gene belongs to the sulfatase family. The arylsulfatase B homodimer hydrolyzes sulfate groups of N-Acetyl-D-galactosamine, chondriotin sulfate, and dermatan sulfate. The protein is targeted to the lysozyme. Mucopolysaccharidosis type VI is an autosomal recessive lysosomal storage disorder resulting from a deficiency of arylsulfatase B. Two alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Dec 2016]",0,,0,,2,ARSB; SLURP1,0,,
FAM151B,Homo,,,,,,,0,,0,,2,FAM151B; FAM151B-DT,0,,summary_not_found
RASGRF2,Homo,5924,RASGRF2,Ras protein specific guanine nucleotide releasing factor 2,,5,"RAS GTPases cycle between an inactive GDP-bound state and an active GTP-bound state. This gene encodes a calcium-regulated nucleotide exchange factor activating both RAS and RAS-related protein, RAC1, through the exchange of bound GDP for GTP, thereby, coordinating the signaling of distinct mitogen-activated protein kinase pathways. [provided by RefSeq, Oct 2011]",0,,0,,3,RASGRF2; RASGRF2-AS2; RASGRF2-AS1,0,,
ACOT12,Homo,134526,ACOT12,acyl-CoA thioesterase 12,,5,"Enables identical protein binding activity. Predicted to be involved in acetyl-CoA metabolic process. Located in cytosol; intercellular bridge; and nucleoplasm. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,2,ACOT12; ACOT12-DT,0,,
ATG10,Homo,,,,,,,0,,0,,3,ATG10; ATG10-AS1; ATG10-IT1,0,,summary_not_found
XRCC4,Homo,,,,,,,0,,0,,3,XRCC4; PAXX; NHEJ1,3,DNA ligase IV complex; DNA-dependent protein kinase-DNA ligase 4 complex; double-strand break repair via classical nonhomologous end joining,summary_not_found
VCAN,Homo,1462,VCAN,versican,,5,"This gene is a member of the aggrecan/versican proteoglycan family. The protein encoded is a large chondroitin sulfate proteoglycan and is a major component of the extracellular matrix. This protein is involved in cell adhesion, proliferation, proliferation, migration and angiogenesis and plays a central role in tissue morphogenesis and maintenance. Mutations in this gene are the cause of Wagner syndrome type 1. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2009]",0,,0,,2,VCAN; VCAN-AS1,0,,
VCAN-AS1,Homo,105379054,VCAN-AS1,VCAN antisense RNA 1,,5,,0,,0,,1,VCAN-AS1,0,,
AC109492.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
MEF2C,Homo,4208,MEF2C,myocyte enhancer factor 2C,,5,"This locus encodes a member of the MADS box transcription enhancer factor 2 (MEF2) family of proteins, which play a role in myogenesis. The encoded protein, MEF2 polypeptide C, has both trans-activating and DNA binding activities. This protein may play a role in maintaining the differentiated state of muscle cells. Mutations and deletions at this locus have been associated with severe cognitive disability, stereotypic movements, epilepsy, and cerebral malformation. Alternatively spliced transcript variants have been described. [provided by RefSeq, Jul 2010]",0,,0,,5,MEF2C; MEF2C-AS1; MEF2C-AS2; MOV10L1; MIR9-2HG,0,,
MEF2C-AS1,Homo,101929423,MEF2C-AS1,MEF2C antisense RNA 1,,5,,0,,0,,1,MEF2C-AS1,0,,
LINC02161,Homo,105379076,LINC02161,long intergenic non-protein coding RNA 2161,,5,,0,,0,,1,LINC02161,0,,
ADGRV1,Homo,84059,ADGRV1,adhesion G protein-coupled receptor V1,,5,"This gene encodes a member of the G-protein coupled receptor superfamily. The encoded protein contains a 7-transmembrane receptor domain, binds calcium and is expressed in the central nervous system. Mutations in this gene are associated with Usher syndrome 2 and familial febrile seizures. Several alternatively spliced transcripts have been described. [provided by RefSeq, Jul 2008]",0,,0,,2,ADGRV1; ADGRV1-AS1,1,USH2 complex,
LUCAT1,Homo,,,,,,,0,,0,,1,LUCAT1,0,,summary_not_found
AC093298.2,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
KIAA0825,Homo,285600,KIAA0825,KIAA0825,,5,,0,,0,,1,KIAA0825,0,,
MCTP1,Homo,,,,,,,0,,0,,4,MCTP1; MCTP1-AS2; MCTP1-AS3; MCTP1-AS1,0,,summary_not_found
ELL2,Homo,22936,ELL2,elongation factor for RNA polymerase II 2,,5,"Predicted to enable cis-regulatory region sequence-specific DNA binding activity. Involved in snRNA transcription by RNA polymerase II. Located in nucleoplasm. Part of transcription elongation factor complex. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,ELL2,0,,
AC104123.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
LIX1-AS1,Homo,,,,,,,0,,0,,1,LIX1-AS1,0,,summary_not_found
LIX1,Homo,167410,LIX1,limb and CNS expressed 1,,5,"Predicted to be involved in autophagosome maturation. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,3,LIX1; LIX1L; LIX1-AS1,0,,
AC008883.2,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
LINC01340,Homo,102546227,LINC01340,long intergenic non-protein coding RNA 1340,,5,,0,,0,,1,LINC01340,0,,
AC122697.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
LINC02234,Homo,109729164,LINC02234,long intergenic non-protein coding RNA 2234,,5,,0,,0,,1,LINC01340,0,,
AC113385.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
SLCO4C1,Homo,353189,SLCO4C1,solute carrier organic anion transporter family member 4C1,,5,"SLCO4C1 belongs to the organic anion transporter (OATP) family. OATPs are involved in the membrane transport of bile acids, conjugated steroids, thyroid hormone, eicosanoids, peptides, and numerous drugs in many tissues (Mikkaichi et al., 2004 [PubMed 14993604]).[supplied by OMIM, Mar 2008]",0,,0,,1,SLCO4C1,0,,
PAM,Homo,5066,PAM,peptidylglycine alpha-amidating monooxygenase,,5,"This gene encodes a multifunctional protein. The encoded preproprotein is proteolytically processed to generate the mature enzyme. This enzyme includes two domains with distinct catalytic activities, a peptidylglycine alpha-hydroxylating monooxygenase (PHM) domain and a peptidyl-alpha-hydroxyglycine alpha-amidating lyase (PAL) domain. These catalytic domains work sequentially to catalyze the conversion of neuroendocrine peptides to active alpha-amidated products. Alternative splicing results in multiple transcript variants, at least one of which encodes an isoform that is proteolytically processed. [provided by RefSeq, Jan 2016]",0,,0,,5,PAM; MYCBP2; PAM-AS1; F11R; TIM23 complex,2,"peptidylglycine monooxygenase activity; PAM complex, Tim23 associated import motor",
EFNA5,Homo,1946,EFNA5,ephrin A5,,5,"Ephrin-A5, a member of the ephrin gene family, prevents axon bundling in cocultures of cortical neurons with astrocytes, a model of late stage nervous system development and differentiation. The EPH and EPH-related receptors comprise the largest subfamily of receptor protein-tyrosine kinases and have been implicated in mediating developmental events, particularly in the nervous system. EPH receptors typically have a single kinase domain and an extracellular region containing a Cys-rich domain and 2 fibronectin type III repeats. The ephrin ligands and receptors have been named by the Eph Nomenclature Committee (1997). Based on their structures and sequence relationships, ephrins are divided into the ephrin-A (EFNA) class, which are anchored to the membrane by a glycosylphosphatidylinositol linkage, and the ephrin-B (EFNB) class, which are transmembrane proteins. The Eph family of receptors are similarly divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. [provided by RefSeq, Jul 2008]",0,,0,,2,EFNA5; EFNA5-AS1,0,,
FER,Homo,2241,FER,FER tyrosine kinase,,5,"The protein encoded by this gene is a member of the FPS/FES family of non-transmembrane receptor tyrosine kinases. It regulates cell-cell adhesion and mediates signaling from the cell surface to the cytoskeleton via growth factor receptors. Alternative splicing results in multiple transcript variants. A related pseudogene has been identified on chromosome X. [provided by RefSeq, Apr 2015]",0,,0,,10,FER; MYOF; FER1L4; FER1L6; FER1L5; FERP1; FER-AS1; FER-AS2; OTOF; DYSF,0,,
TMEM232,Homo,,,,,,,0,,0,,1,TMEM232,0,,summary_not_found
CAMK4,Homo,814,CAMK4,calcium/calmodulin dependent protein kinase IV,,5,"The product of this gene belongs to the serine/threonine protein kinase family, and to the Ca(2+)/calmodulin-dependent protein kinase subfamily. This enzyme is a multifunctional serine/threonine protein kinase with limited tissue distribution, that has been implicated in transcriptional regulation in lymphocytes, neurons and male germ cells. [provided by RefSeq, Jul 2008]",0,,0,,2,CAMK4; CAMK4-AS1,0,,
NREP-AS1,Homo,,,,,,,0,,0,,1,NREP-AS1,0,,summary_not_found
EPB41L4A,Homo,64097,EPB41L4A,erythrocyte membrane protein band 4.1 like 4A,,5,"The protein encoded by this gene is a member of the band 4.1 protein superfamily. Members of this superfamily are thought to play an important role in regulating interactions between the cytoskeleton and plasma membrane, and contain an amino terminal conserved domain that binds glycophorin C. This gene product is thought to be involved in the beta-catenin signaling pathway. [provided by RefSeq, Dec 2016]",0,,0,,5,EPB41L4A; EPB41L4A-DT; EPB41L4A-AS2; EPB41L4A-AS3; EPB41L4A-AS1,0,,
MCC,Homo,4163,MCC,MCC regulator of Wnt signaling pathway,,5,"This gene is a candidate colorectal tumor suppressor gene that is thought to negatively regulate cell cycle progression. The orthologous gene in the mouse expresses a phosphoprotein associated with the plasma membrane and membrane organelles, and overexpression of the mouse protein inhibits entry into S phase. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",0,,0,,3,MCC; MCC-AS1; MCC-AS2,10,mitotic checkpoint complex; mucociliary clearance; multiciliated epithelial cell; mitotic checkpoint complex assembly; magnesium ion transmembrane transport; (R)-carnitine transmembrane transport; regulation of DNA amplification; mRNA pseudouridine synthesis; regulation of polyamine transmembrane transport; fluoride transmembrane transporter activity,
LINC02147,Homo,,,,,,,0,,0,,1,LINC02147,0,,summary_not_found
LINC02208,Homo,,,,,,,0,,0,,1,LINC02208,0,,summary_not_found
AC008629.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
AC113418.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
PRR16,Homo,51334,PRR16,proline rich 16,,5,"Involved in positive regulation of cell size and positive regulation of translation. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,PRR16,0,,
AC008568.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
ZNF608,Homo,57507,ZNF608,zinc finger protein 608,,5,"Predicted to enable zinc ion binding activity. Predicted to be involved in negative regulation of transcription by RNA polymerase II. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,2,ZNF608; ZNF608-AS1,0,,
AC116362.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
LMNB1-DT,Homo,102723557,LMNB1-DT,LMNB1 divergent transcript,,5,,0,,0,,1,LMNB1-DT,1,NAD(P)H dehydrogenase (quinone) activity,
MARCH3,Homo,115123,MARCHF3,membrane associated ring-CH-type finger 3,,5,"This gene encodes a member of the membrane-associated RING-CH (MARCH) family. The encoded protein is an E3 ubiquitin-protein ligase that may be involved in regulation of the endosomal transport pathway. [provided by RefSeq, Mar 2013]",0,,0,,1,MARCHF3,0,,
AC011416.3,Homo,84466,MEGF10,multiple EGF like domains 10,,5,"This gene encodes a member of the multiple epidermal growth factor-like domains protein family. The encoded protein plays a role in cell adhesion, motility and proliferation, and is a critical mediator of apoptotic cell phagocytosis as well as amyloid-beta peptide uptake in the brain. Expression of this gene may be associated with schizophrenia, and mutations in this gene are a cause of early-onset myopathy, areflexia, respiratory distress, and dysphagia (EMARDD) as well as congenital myopathy with minicores. Alternatively spliced transcript variants have been observed for this gene. [provided by RefSeq, Apr 2012]",0,,0,,0,,0,,
FBN2,Homo,2201,FBN2,fibrillin 2,,5,"The protein encoded by this gene is a component of connective tissue microfibrils and may be involved in elastic fiber assembly. Mutations in this gene cause congenital contractural arachnodactyly. [provided by RefSeq, Jul 2008]",0,,0,,1,FBN2,0,,
SLC27A6,Homo,28965,SLC27A6,solute carrier family 27 member 6,,5,"This gene encodes a member of the fatty acid transport protein family (FATP). FATPs are involved in the uptake of long-chain fatty acids and have unique expression patterns. Alternatively spliced transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008]",0,,0,,1,SLC27A6,0,,
CHSY3,Homo,337876,CHSY3,chondroitin sulfate synthase 3,,5,"CSS3 is a glycosyltransferase that has both glucuronyltransferase and N-acetylgalactosaminyltransferase activities (Yada et al., 2003 [PubMed 12907687]).[supplied by OMIM, Mar 2008]",0,,0,,2,CHSY3; CHSY3-AS1,0,,
MEIKIN,Homo,728637,MEIKIN,meiotic kinetochore factor,,5,"Predicted to be involved in meiotic chromosome segregation and meiotic sister chromatid cohesion. Predicted to be located in kinetochore. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,2,MEIKIN; MEIKIN-AS1,0,,
FSTL4,Homo,23105,FSTL4,follistatin like 4,,5,"Predicted to enable brain-derived neurotrophic factor binding activity and calcium ion binding activity. Predicted to be involved in cell differentiation and regulation of BMP signaling pathway. Predicted to act upstream of or within negative regulation of brain-derived neurotrophic factor receptor signaling pathway; negative regulation of collateral sprouting; and negative regulation of dendritic spine development. Predicted to be located in secretory granule. Predicted to be active in extracellular region. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,4,FSTL4; FSTL4-AS1; FSTL4-AS2; FSTL4-AS3,0,,
AC005355.1,Homo,23338,JADE2,jade family PHD finger 2,,5,"Enables histone H4K12 acetyltransferase activity; histone H4K5 acetyltransferase activity; and histone H4K8 acetyltransferase activity. Contributes to histone H3K14 acetyltransferase activity. Involved in regulation of DNA biosynthetic process; regulation of DNA replication; and regulation of cell cycle. Located in nucleoplasm. Part of histone acetyltransferase complex. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,0,,0,,
TGFBI,Homo,7045,TGFBI,transforming growth factor beta induced,,5,"This gene encodes an RGD-containing protein that binds to type I, II and IV collagens. The RGD motif is found in many extracellular matrix proteins modulating cell adhesion and serves as a ligand recognition sequence for several integrins. This protein plays a role in cell-collagen interactions and may be involved in endochondrial bone formation in cartilage. The protein is induced by transforming growth factor-beta and acts to inhibit cell adhesion. Mutations in this gene are associated with multiple types of corneal dystrophy. [provided by RefSeq, Jul 2008]",0,,0,,1,TGFBI,0,,
SPOCK1,Homo,6695,SPOCK1,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1",,5,"This gene encodes the protein core of a seminal plasma proteoglycan containing chondroitin- and heparan-sulfate chains. The protein's function is unknown, although similarity to thyropin-type cysteine protease-inhibitors suggests its function may be related to protease inhibition. [provided by RefSeq, Jul 2008]",0,,0,,2,SPOCK1; SPOCK1-AS1,0,,
AC106791.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
KIF20A,Homo,10112,KIF20A,kinesin family member 20A,,5,"Enables protein kinase binding activity. Involved in microtubule bundle formation; midbody abscission; and regulation of cytokinesis. Located in several cellular components, including cleavage furrow; midbody; and mitotic spindle. Implicated in familial restrictive cardiomyopathy 6. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,KIF20A,0,,
EGR1,Homo,1958,EGR1,early growth response 1,,5,"The protein encoded by this gene belongs to the EGR family of C2H2-type zinc-finger proteins. It is a nuclear protein and functions as a transcriptional regulator. The products of target genes it activates are required for differentitation and mitogenesis. Studies suggest this is a cancer suppressor gene. [provided by RefSeq, Dec 2014]",0,,0,,4,EGR1; TOE1; NAB1; NAB2,0,,
SIL1,Homo,64374,SIL1,SIL1 nucleotide exchange factor,,5,"This gene encodes a resident endoplasmic reticulum (ER), N-linked glycoprotein with an N-terminal ER targeting sequence, 2 putative N-glycosylation sites, and a C-terminal ER retention signal. This protein functions as a nucleotide exchange factor for another unfolded protein response protein. Mutations in this gene have been associated with Marinesco-Sjogren syndrome. Alternate transcriptional splice variants have been characterized. [provided by RefSeq, Jul 2008]",0,,0,,2,SIL1; SIL1-AS1,0,,
MZB1,Homo,51237,MZB1,marginal zone B and B1 cell specific protein,,5,"Involved in positive regulation of cell population proliferation. Located in cytoplasm and extracellular region. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,MZB1,0,,
PSD2,Homo,84249,PSD2,pleckstrin and Sec7 domain containing 2,,5,"Predicted to enable guanyl-nucleotide exchange factor activity and phospholipid binding activity. Predicted to be involved in regulation of ARF protein signal transduction. Predicted to be located in cleavage furrow and ruffle membrane. Predicted to be active in glutamatergic synapse and postsynapse. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,2,PSD2; PSD2-AS1,0,,
HBEGF,Homo,1839,HBEGF,heparin binding EGF like growth factor,,5,"Enables growth factor activity; heparin binding activity; and transmembrane receptor protein tyrosine kinase activator activity. Involved in several processes, including epidermal growth factor receptor signaling pathway; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; and positive regulation of wound healing. Located in cell surface. Is active in extracellular space. Implicated in glomerulosclerosis and perinatal necrotizing enterocolitis. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,HBEGF,0,,
CD14,Homo,929,CD14,CD14 molecule,,5,"The protein encoded by this gene is a surface antigen that is preferentially expressed on monocytes/macrophages. It cooperates with other proteins to mediate the innate immune response to bacterial lipopolysaccharide, and to viruses. This gene has been identified as a target candidate in the treatment of SARS-CoV-2-infected patients to potentially lessen or inhibit a severe inflammatory response. Alternative splicing results in multiple transcript variants encoding the same protein. [provided by RefSeq, Aug 2020]",0,,0,,1,CD14,10,"lipopolysaccharide receptor complex; CD14-positive, CD16-low monocyte; CD14-positive monocyte; CD14-low, CD16-positive monocyte; CD14-positive, CD16-positive monocyte; type B pancreatic cell; luminal adaptive secretory precursor cell of mammary gland; hematopoietic stem cell; megakaryocyte progenitor cell; eosinophil",
AC005618.1,Homo,6879,TAF7,TATA-box binding protein associated factor 7,,5,"The intronless gene for this transcription coactivator is located between the protocadherin beta and gamma gene clusters on chromosome 5. The protein encoded by this gene is a component of the TFIID protein complex, a complex which binds to the TATA box in class II promoters and recruits RNA polymerase II and other factors. This particular subunit interacts with the largest TFIID subunit, as well as multiple transcription activators. The protein is required for transcription by promoters targeted by RNA polymerase II. [provided by RefSeq, Jul 2008]",0,,0,,0,,0,,
LINC01844,Homo,101926975,LINC01844,long intergenic non-protein coding RNA 1844,,5,,0,,0,,1,SPRY4-AS1,0,,
ARHGAP26,Homo,23092,ARHGAP26,Rho GTPase activating protein 26,,5,"Interaction of a cell with the extracellular matrix triggers integrin cell surface receptors to begin signaling cascades that regulate the organization of the actin-cytoskeleton. One of the proteins involved in these cascades is focal adhesion kinase. The protein encoded by this gene is a GTPase activating protein that binds to focal adhesion kinase and mediates the activity of the GTP binding proteins RhoA and Cdc42. Defects in this gene are a cause of juvenile myelomonocytic leukemia (JMML). Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2017]",0,,0,,3,ARHGAP26; ARHGAP26-AS1; ARHGAP26-IT1,0,,
AC008696.2,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
HMHB1,Homo,57824,HMHB1,histocompatibility minor HB-1,,5,"This gene encodes one of the minor histocompatibility antigens, which play an important role in the induction of cytotoxic T lymphocyte (CTL) reactivity against leukemia after human histocompatibility leukocyte antigen (HLA)-identical allogeneic bone marrow transplantation (BMT). This gene is only expressed in B cell acute lymphoblastic leukemia cells and Epstein-Barr virus-transformed B cells. The translation of this mRNA initiates at a non-AUG (CUG) codon. [provided by RefSeq, Jul 2008]",0,,0,,1,HMHB1,0,,
AC137770.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
PRELID2,Homo,153768,PRELID2,PRELI domain containing 2,,5,"Predicted to enable phosphatidic acid transfer activity. Predicted to be involved in phospholipid transport. Predicted to be active in mitochondrial intermembrane space. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,PRELID2,0,,
SH3RF2,Homo,,,,,,,0,,0,,1,SH3RF2,0,,summary_not_found
PPP2R2B,Homo,5521,PPP2R2B,protein phosphatase 2 regulatory subunit Bbeta,,5,"The product of this gene belongs to the phosphatase 2 regulatory subunit B family. Protein phosphatase 2 is one of the four major Ser/Thr phosphatases, and it is implicated in the negative control of cell growth and division. It consists of a common heteromeric core enzyme, which is composed of a catalytic subunit and a constant regulatory subunit, that associates with a variety of regulatory subunits. The B regulatory subunit might modulate substrate selectivity and catalytic activity. This gene encodes a beta isoform of the regulatory subunit B55 subfamily. Defects in this gene cause autosomal dominant spinocerebellar ataxia 12 (SCA12), a disease caused by degeneration of the cerebellum, sometimes involving the brainstem and spinal cord, and in resulting in poor coordination of speech and body movements. Multiple alternatively spliced variants, which encode different isoforms, have been identified for this gene. The 5' UTR of some of these variants includes a CAG trinucleotide repeat sequence (7-28 copies) that can be expanded to 55-78 copies in cases of SCA12. [provided by RefSeq, Jul 2016]",0,,0,,3,PPP2R2B; PPP2R2B-IT1; PPP2R2B-AS2,0,,
JAKMIP2,Homo,,,,,,,0,,0,,2,JAKMIP2; JAKMIP2-AS1,0,,summary_not_found
ABLIM3,Homo,22885,ABLIM3,actin binding LIM protein family member 3,,5,"This gene encodes a member of the actin-binding LIM (abLIM) family of proteins. These proteins are characterized by an N-terminal LIM domain and a C-terminal dematin-like domain. The encoded protein interacts with actin filaments and may be a component of adherens junctions in several cell types. A variant of this gene may be associated with pain sensitivity in male human patients. [provided by RefSeq, Sep 2016]",0,,0,,1,ABLIM3,0,,
PPARGC1B,Homo,133522,PPARGC1B,PPARG coactivator 1 beta,,5,"The protein encoded by this gene stimulates the activity of several transcription factors and nuclear receptors, including estrogen receptor alpha, nuclear respiratory factor 1, and glucocorticoid receptor. The encoded protein may be involved in fat oxidation, non-oxidative glucose metabolism, and the regulation of energy expenditure. This protein is downregulated in prediabetic and type 2 diabetes mellitus patients. Certain allelic variations in this gene increase the risk of the development of obesity. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2010]",0,,0,,1,PPARGC1B,0,,
CSF1R,Homo,1436,CSF1R,colony stimulating factor 1 receptor,,5,"The protein encoded by this gene is the receptor for colony stimulating factor 1, a cytokine which controls the production, differentiation, and function of macrophages. This receptor mediates most if not all of the biological effects of this cytokine. Ligand binding activates the receptor kinase through a process of oligomerization and transphosphorylation. The encoded protein is a tyrosine kinase transmembrane receptor and member of the CSF1/PDGF receptor family of tyrosine-protein kinases. Mutations in this gene have been associated with a predisposition to myeloid malignancy. The first intron of this gene contains a transcriptionally inactive ribosomal protein L7 processed pseudogene oriented in the opposite direction. Alternative splicing results in multiple transcript variants. Expression of a splice variant from an LTR promoter has been found in Hodgkin lymphoma (HL), HL cell lines and anaplastic large cell lymphoma. [provided by RefSeq, Mar 2017]",0,,0,,1,CSF1R,1,CSF1-CSF1R complex,
CD74,Homo,972,CD74,CD74 molecule,,5,"The protein encoded by this gene associates with class II major histocompatibility complex (MHC) and is an important chaperone that regulates antigen presentation for immune response. It also serves as cell surface receptor for the cytokine macrophage migration inhibitory factor (MIF) which, when bound to the encoded protein, initiates survival pathways and cell proliferation. This protein also interacts with amyloid precursor protein (APP) and suppresses the production of amyloid beta (Abeta). Multiple alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Aug 2011]",0,,0,,1,CD74,2,NOS2-CD74 complex; macrophage migration inhibitory factor receptor complex,
GLRA1,Homo,2741,GLRA1,glycine receptor alpha 1,,5,"The protein encoded by this gene is a subunit of a pentameric inhibitory glycine receptor, which mediates postsynaptic inhibition in the central nervous system. Defects in this gene are a cause of startle disease (STHE), also known as hereditary hyperekplexia or congenital stiff-person syndrome. Multiple transcript variants encoding different isoforms have been found. [provided by RefSeq, Dec 2015]",0,,0,,1,GLRA1,0,,
LINC01933,Homo,101927115,LINC01933,long intergenic non-protein coding RNA 1933,,5,,0,,0,,1,LINC01933,0,,
SGCD,Homo,6444,SGCD,sarcoglycan delta,,5,"The protein encoded by this gene is one of the four known components of the sarcoglycan complex, which is a subcomplex of the dystrophin-glycoprotein complex (DGC). DGC forms a link between the F-actin cytoskeleton and the extracellular matrix. This protein is expressed most abundantly in skeletal and cardiac muscle. Mutations in this gene have been associated with autosomal recessive limb-girdle muscular dystrophy and dilated cardiomyopathy. Alternatively spliced transcript variants encoding distinct isoforms have been observed for this gene. [provided by RefSeq, Jul 2008]",0,,0,,1,SGCD,0,,
AC011351.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
ADAM19,Homo,8728,ADAM19,ADAM metallopeptidase domain 19,,5,"This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. This member is a type I transmembrane protein and serves as a marker for dendritic cell differentiation. It has been demonstrated to be an active metalloproteinase, which may be involved in normal physiological processes such as cell migration, cell adhesion, cell-cell and cell-matrix interactions, and signal transduction. It is proposed to play a role in pathological processes, such as cancer, inflammatory diseases, renal diseases, and Alzheimer's disease. [provided by RefSeq, May 2013]",0,,0,,1,ADAM19,0,,
AC025437.4,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
EBF1,Homo,1879,EBF1,EBF transcription factor 1,,5,"Predicted to enable DNA-binding transcription activator activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in positive regulation of transcription by RNA polymerase II. Predicted to act upstream of or within positive regulation of DNA-templated transcription. Predicted to be located in chromatin. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,EBF1,0,,
AC008691.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
